Book Name,Fiction
Beach Homes (Best of Fine Homebuilding),0.0
Mindstar,True
Luxury Hotels,False
La vie aux pôles,False
Your Presbyterian Church,False
[Stea]m navigation on Lake Ontario,False
Chinchillas,False
The  employer's legal handbook,False
Get your message across,False
Tales from history (Historische Erzählungen),False
Interpretive biography,False
Naissance de la clinique (QUADRIGE),False
Mission Matters,False
Giornale Arcadico di Scienze / Lettere ed Arti,False
"Travels through France & Italy, and part of Austrian, French, & Dutch Netherlands",False
"John H. Johnson, ""the man from Ebony""",False
Hij ligt nog in die vrachtwagen!,False
C'est beau mais c'est triste,False
The Three Musketeers,True
Fight fat with fat,False
"Truly a Person, Truly God",False
The pro game,False
Office Encyclopeda,False
Societal guidance,False
Cong A gu huo li,False
The Japanese in rural Los Angeles County,False
Personal recollections of Thomas De Quincey.,False
Do we want war in the Far East?,False
[Report],False
Planes in action,False
"The Polytechnic Review and Magazine of Science, Literature, and the Fine Arts",False
Those legendary men of the wild West,False
The Prometheus Project,False
Railway ancestors,False
Snow in the kitchen,False
Transactions - Leeds Geological Association,False
Mole moves house,True
Five on a Hike Together,True
History of Oregon and California and the other territories on the North-west coast of North America,False
Product positioning strategies for segment pre-emption,False
"Environmental law, ethics and public policy",False
Surrendering to Marriage,False
Men Who Ride Mountains,False
Nehemiah Leadership (English and Korean),False
Cardiac rehabilitation,False
Vom Wesen der Hieratischen Kunst,False
The second vendetta,True
The secret garden,True
"An outline history of the Presbyterian Church in West or South Jersey, from 1700 to 1865",False
From Gentleman's Club to professional body,False
Rules and regulations of the Society of St. Vincent of Paul,False
Der Weinstock am Haus,False
The Virgin Book Of British Hit Singles,False
"How history's greatest pirates pillaged, plundered, and got away with it",False
Wellesley news,False
Business leadership and the Negro crisis.,False
"On artificial tuberculosis, and its relation to cellular pathology and the growth of tumours",False
"A view of the art of colonization, in letters between a statesman and a colonist.",False
"I, Columbus",False
Agricultural degradation,False
Anjelica Huston,False
Oxford Chinese Mini Dictionary,False
Peaking through tennis,False
"A Treatise on the Diseases of the Urethra, Vesica Urinaria, Prostate, and Rectum",False
The handbook of the bond and money markets,False
Technician Certification for Refrigerants,False
Rockrose.,False
Einführung in die Erkenntnistheorie.,False
"Testament politique du marquis de Louvois premier ministre d'etat, sous le regne de Louis XIV. roy de France",False
Scientific confirmations of Old Testament history,False
