acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,valence,year,hype_score
0.00145,"[""Plain White T's""]",0.448,224853,0.8140000000000001,0,6cQSR4chKDTFhlCT2MuNwq,0.0,0.104,-4.601,Hate (I Really Don't Like You),46,0.0337,161.93,0.523,2006,21.126655000000003
0.053,['Journey'],0.449,252507,0.764,0,5i36c6C2XRw8U71yWgcoTn,3.88e-06,0.129,-7.029,Wheel in the Sky,45,0.0636,105.807,0.431,2006,15.3944
3.2899999999999987e-05,['Mastodon'],0.416,259693,0.927,0,6nmsnhkJYvyYu8TheUa0Xf,0.00872,0.0782,-3.257,Colony of Birchmen,48,0.0844,125.758,0.339,2006,17.737096710000003
0.17,['Band of Horses'],0.395,186693,0.391,0,5aN3Cyeoa5x4gc41HOIqeX,0.0,0.0975,-7.063,I Go to the Barn Becase I Like The,46,0.0313,119.692,0.208,2006,16.748500000000003
0.000422,['P!nk'],0.475,198653,0.8740000000000001,1,0cBz9gSO44iAdpyvO2Gvt1,5.7e-05,0.0736,-3.693,Leave Me Alone (I'm Lonely),55,0.0398,150.183,0.475,2006,20.875457800000003
0.0148,['Bring Me The Horizon'],0.307,261747,0.98,0,5fzJpKGHEMV2Hs2EoxJVeJ,0.00813,0.67,-4.186,Pray For Plagues,46,0.226,130.244,0.132,2006,17.97832
5.5e-05,['The Killers'],0.261,265800,0.905,0,62XRqyhZP1vYNoD7WMTtiW,0.262,0.396,-3.483,Uncle Jonny,51,0.039,173.782,0.379,2006,22.801894500000003
0.00962,['Bruce Springsteen'],0.395,199067,0.955,0,7zrHnJ87htwgS20PzFmgTr,0.0,0.36,-3.799,Radio Nowhere,56,0.0488,140.219,0.6579999999999999,2007,19.986438
0.000187,['Godsmack'],0.374,259507,0.959,0,72pFw0zZA2qmHwasb6Dt1x,0.00206,0.081,-4.695,Straight Out Of Line,46,0.14,183.659,0.375,2007,23.328381300000004
2.03e-05,['Godsmack'],0.487,177933,0.7659999999999999,0,1B9KhZZDtgudejvc2SQkZv,3.26e-05,0.225,-5.914,"Good Times, Bad Times",46,0.0647,95.641,0.614,2007,14.491297970000003
0.0147,['All Time Low'],0.488,216547,0.967,0,3MfRql0HwuxEZzGpoIC832,0.0,0.109,-2.701,Six Feet Under The Stars,47,0.0755,130.928,0.341,2007,18.17903
0.000442,['Scary Kids Scaring Kids'],0.421,261240,0.935,0,48H6uWuBYeeZUiXwb5f69K,0.000212,0.1,-5.153,Holding On,45,0.0697,165.02,0.455,2007,21.3666558
0.00018,['Chevelle'],0.435,251293,0.91,0,6e9s42iBN7bt5QvCvFlVUs,1.36e-06,0.141,-3.222,Saferwaters,45,0.0515,131.963,0.308,2007,18.056282
0.146,['Avril Lavigne'],0.389,232200,0.71,0,5OuP08bgU2H7ZeDQQFQ6q8,0.0,0.202,-3.664,Innocence,58,0.0343,137.752,0.34,2007,19.8514
0.00172,['YUI'],0.49,188507,0.889,0,1FN5MIbMWhM0rRe8Y8RyX1,0.0,0.353,-2.422,Rolling Star,54,0.0432,80.594,0.679,2007,13.823928
0.0622,['Scouting For Girls'],0.4970000000000001,223813,0.857,0,0JpxNq2SYwPt2uSqdcSvyQ,0.0,0.0495,-3.313,She's So Lovely,43,0.0649,167.142,0.619,2007,21.364480000000004
0.000193,['Fall Out Boy'],0.407,186027,0.969,0,0EwfAdBab8DRcDCC1RKhMY,0.000113,0.19,-2.908,Fame < Infamy,48,0.0856,168.891,0.647,2007,22.0611807
0.0017399999999999,['The Goo Goo Dolls'],0.486,213267,0.5920000000000001,0,2CWYATyxjd8tOsXdyuRWUv,0.00114,0.0935,-5.176,Better Days,46,0.0298,113.228,0.329,2007,16.197426
0.122,['Keyshia Cole'],0.451,266960,0.644,0,1Tn0b93GeEZ1wDDRpT6WhM,0.0,0.901,-3.721,Fallin' Out,43,0.0412,197.467,0.422,2007,24.317900000000005
0.0104,['The Killers'],0.38,256547,0.89,0,1vFxgDgIM0hVxWUiKws1GV,0.000369,0.147,-3.491,Glamorous Indie Rock And Roll,46,0.0438,76.594,0.5539999999999999,2007,12.60136
0.00091,['Led Zeppelin'],0.317,220880,0.879,0,7HQrFPtLEpgTJaEVujH8OO,0.0014199999999999,0.0972,-7.532999999999999,Rock and Roll - 2007 Remaster,50,0.0406,169.53400000000005,0.8490000000000001,2007,22.28040900000001
0.000928,['Fall Out Boy'],0.484,192080,0.936,0,6gRgweWPiX1ii33coNlTt8,1.05e-05,0.5479999999999999,-3.547,27,45,0.0481,156.984,0.8109999999999999,2008,20.5759072
6.68e-05,['Shinedown'],0.337,229973,0.981,0,65f3M1uGKcxbCpXP3KLUOm,0.000717,0.0697,-3.54,Devour,48,0.141,176.995,0.228,2008,22.86119332
0.000345,['Shinedown'],0.474,258973,0.8170000000000001,0,16uY3iTdSsXUE00vB8HRjJ,0.00957,0.111,-4.047,What a Shame,47,0.0307,138.019,0.322,2008,18.8417655
0.0108,['Stiff Dylans'],0.345,226560,0.989,0,4Zf3vqW6M3tAQAvywYgKU6,0.0,0.0859,-2.9,Ultraviolet,53,0.125,169.87,0.31,2008,22.65162
0.0014,['Moby'],0.297,241173,0.637,0,2UKYMN7VnsQo40n0qCt6Sa,0.18,0.247,-7.926,Porcelain,45,0.0336,94.73,0.332,2008,14.22336
0.00239,['Blue Öyster Cult'],0.419,228867,0.909,0,3G3PQdcOUZTCgvhvfNGfbv,1.6800000000000002e-05,0.24,-10.258,(Don't Fear) The Reaper - Single Version,52,0.0639,142.217,0.494,2008,19.777961
0.000156,['Egypt Central'],0.441,232640,0.91,0,5T2hX4dfBoJCG3hal07zmC,0.0258,0.157,-4.292,You Make Me Sick,44,0.0766,134.84,0.317,2008,18.245184400000003
0.107,['Randy Rogers Band'],0.482,245280,0.525,0,2HDkUc3QqSW01hoWTFQUUX,1.1e-05,0.141,-6.432,One Woman,44,0.026,144.523,0.163,2008,19.0955
3.620000000000001e-05,['A Flock Of Seagulls'],0.447,226693,0.7440000000000001,0,4FMsajq8hKiOmcJ7UzOhag,0.106,0.21,-4.613,Space Age Love Song,48,0.0311,139.959,0.552,2008,19.10849638
0.00203,['Mudvayne'],0.498,216027,0.974,0,4Icu8prpEka7ufeeyVlj7a,0.0,0.1669999999999999,-2.649,Do What You Do,46,0.144,165.043,0.6459999999999999,2008,21.495897000000003
0.000253,['Rise Against'],0.392,245480,0.932,0,2gTXHAdDkCTGT9paqmgzEB,1.7199999999999998e-05,0.247,-3.839,Audience Of One,45,0.0429,161.859,0.604,2008,21.0438747
2.47e-05,['Rev Theory'],0.4370000000000001,253627,0.971,0,1o5kUcODWoTo3mdCbLogtT,0.0,0.254,-2.9,Light It Up,49,0.075,125.934,0.278,2008,17.872097530000005
0.00912,['Hey Monday'],0.393,197760,0.965,0,4hIY051enSBBJ5fzZUzTSU,0.0,0.385,-2.0780000000000003,How You Love Me Now,49,0.0734,134.91899999999998,0.37,2008,18.759088
0.00964,['One Day As A Lion'],0.408,227760,0.895,0,2ww4JXJolWV7DmC5PFfZyu,0.0,0.51,-6.027,Wild International,49,0.196,171.695,0.531,2008,22.418636000000003
