acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,valence,year,hype_score,album_id,album_name,artists_0_id,artists_0_name,track_number
0.211,['Perfume Genius'],0.418,230720,0.547,0,52WTLETEHs5jwCr7LCq0VW,0.0443,0.187,-4.932,Queen,55,0.0295,131.99,0.13,2014,18.9256,28FxHb9OJRzAch4DwUUsaT,Too Bright,2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,2
0.0355,['Alvvays'],0.327,207640,0.948,0,22cDldSuj9rgIMXwn4Ofn0,0.515,0.126,-4.355,Adult Diversion,53,0.0711,177.328,0.469,2014,23.37905,4PrBMzWzzoMOwm55Bfo3dt,Alvvays,3kzwYV3OCB010YfXMF0Avt,Alvvays,1
0.00107,['Big Thief'],0.419,230586,0.7040000000000001,0,2WTxIQ0ufU7AxT43ZKpllY,3.04e-05,0.161,-7.819,Masterpiece,58,0.0288,72.044,0.401,2016,13.299293,4onPyHor2yOlVxCsIaGyHH,Masterpiece,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,2
0.196,['Delta Spirit'],0.425,219520,0.789,0,4Y3gLYlV5rD3fhirhWKtei,0.439,0.161,-7.8210000000000015,California,47,0.0421,161.952,0.522,2012,21.1973,7azn6b0REXVeI7x6I8ebQi,Delta Spirit,1xVWSPiw5B0OduIC0DSu3V,Delta Spirit,3
0.0529,['Los Retros'],0.8170000000000001,173954,0.471,0,0qQ9VcVPkWDTnff6HIhISU,0.224,0.106,-13.300999999999998,Someone To Spend Time With,63,0.0335,89.551,0.962,2019,15.55451,7MNOeNJ9RJgDJ2EPEbsIRv,Someone To Spend Time With,0qraFJK6boYSp4ZMMX4PzG,Los Retros,1
0.000596,['Ty Segall'],0.224,132760,0.925,0,5vEE1d5gkv3pgfZyppLeX8,1.35e-06,0.0663,-1.71,Girlfriend,47,0.0834,138.02200000000002,0.378,2010,18.824440400000004,5P0LN9xrnLY1By7mlkKtkx,Melted,58XGUNsRNu3cVOIOYk5chx,Ty Segall,3
0.0002,['Thee Oh Sees'],0.398,212600,0.828,0,4lZjHEJXzKCCTVPtgYcypv,0.742,0.0984,-8.511000000000001,Toe Cutter - Thumb Buster,51,0.057,109.308,0.463,2013,16.358780000000003,6UpdRU3P0AAMA6MVCzsW3c,Floating Coffin,3qYfqdVwX0fil71onLpLkh,Thee Oh Sees,2
0.312,['Lucy Dacus'],0.48,391829,0.31,0,2AF5Kzxb4pz7j79Ity84pP,1.47e-05,0.113,-7.887,Night Shift,62,0.0258,86.149,0.16,2018,14.9727,01GO03odsNlNLtvNETukWT,Historian,07D1Bjaof0NFlU32KXiqUP,Lucy Dacus,1
0.846,['Emily King'],0.7120000000000001,231448,0.217,0,1IlBPaXuM7Fl6tiH9CPQlQ,5.610000000000002e-05,0.265,-12.944,Distance,55,0.0813,136.986,0.468,2015,19.3215,04VtAp2SJPVsutli1F3KjY,The Switch,6jlWj6y00bMQt8XoKuCjyZ,Emily King,7
0.306,['Andrew Bird'],0.458,172840,0.64,0,50woGYhAqV3KXvO1LG4zLg,0.000595,0.314,-6.367000000000001,Fake Palindromes,42,0.0579,144.387,0.315,2005,18.8917,1YbPpWqyIoqEgt2QY90yXy,The Mysterious Production of Eggs,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,4
0.69,['Junip'],0.674,239293,0.481,0,1ghaBtBdpuZMg5nV9E2qRU,0.5,0.125,-14.318,Don't Let It Pass,42,0.0297,139.717,0.488,2010,18.3818,2S81NPoxd3E2gd261BSo5X,Fields (Deluxe Edition),7HcipAIJatVGT4U6HQrnFW,Junip,8
0.0449,['Dan Deacon'],0.426,258960,0.815,0,69L4d5HlE0YOCwWFYVFGoW,0.0307,0.104,-7.566,When I Was Done Dying,54,0.0666,195.123,0.297,2015,25.23751,7c0DRALsdT9K7FLQBTR9PS,Gliss Riffer,5Z3IWpvwOvoaWodujHw7xh,Dan Deacon,3
0.906,['Perfume Genius'],0.277,160169,0.1369999999999999,0,7nycFVsC616uen7TOxhOQb,0.000494,0.223,-11.45,Otherside,60,0.0382,143.27700000000004,0.204,2017,20.333600000000008,7awgq3vvlsIeA7dZduR9x4,No Shape,2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,1
