customer_id,state,sex,age,occupation,family_size,income,ad_type,ad_medium,ad_response,items_purchased,drinks_purchased,Occurance,ad_type_id,ad_medium_id
9167,MO,F,42.0,Food Service,1,40343,DISCOUNT-20%,Instagram photo ad,1,"['mexican pizza', 'chicken quesadilla']","['mountain dew', 'mug root beer']",0.0,0.0,0.0
531,MI,F,36.0,Retail,4,41730,DISCOUNT-10%,Instagram photo ad,0,"['steak garlic nacho fries', 'crunchy taco', 'cheesy bean and rice burrito', 'cheesy bean and rice burrito', 'cravings box']","['mug root beer', 'iced tea', 'starry', 'iced tea', 'iced tea']",1.0,1.0,0.0
2265,CA,F,25.0,IT,0,84024,DISCOUNT-20%,15 sec YouTube ad,0,['chicken quesadilla'],['mug root beer'],0.0,0.0,1.0
7550,VA,M,38.0,Food Service,2,38990,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries', 'crunchy taco']","['pepsi', 'diet pepsi', 'diet pepsi']",2.0,2.0,1.0
5334,MT,M,35.0,Food Service,1,33400,DISCOUNT-20%,15 sec YouTube ad,0,"['spicy potato soft taco', 'nachos bellgrande']","['gatorade', 'baja blast']",0.0,0.0,1.0
9168,FL,F,68.0,Retired,3,0,DISCOUNT-5%,30 sec cable TV ad,0,"['cinnamon twists', 'mexican pizza', 'soft taco', 'chalupa supreme']","['brisk', 'iced tea', 'baja blast', 'iced tea']",0.0,3.0,2.0
5322,WV,M,47.0,Unemployed,2,0,DISCOUNT-20%,Static Facebook ad,0,"['crunchy taco', 'crunchy taco', 'chicken quesadilla']","['brisk', 'iced tea', 'pepsi']",0.0,0.0,3.0
5405,NC,M,45.0,Other,3,70379,DISCOUNT-20%,30 sec Hulu commercial,0,"['nachos bellgrande', 'spicy potato soft taco', 'cheesy bean and rice burrito', 'chalupa supreme']","['baja blast', 'baja blast', 'pepsi', 'pepsi']",0.0,0.0,4.0
6785,NC,F,37.0,Retail,0,42700,BOGO - Garlic Steak Nacho Fries,Instagram photo ad,0,['nachos bellgrande'],['iced tea'],0.0,2.0,0.0
9385,NE,M,20.0,IT,0,77982,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,1,"['chicken quesadilla', 'beefy 5 layer burrito', 'cinnamon twists', 'beefy 5 layer burrito', 'soft taco', 'steak garlic nacho fries', 'steak garlic nacho fries', 'beefy 5 layer burrito']",['baja blast'],2.0,4.0,1.0
5282,WA,F,52.0,IT,3,250000,REWARD - Free Baja Blast with purchase of $20 or more,Static Facebook ad,0,"['steak garlic nacho fries', 'cheesy gordita crunch', 'beefy 5 layer burrito', 'mexican pizza']","['brisk', 'mountain dew', 'iced tea', 'starry']",1.0,4.0,3.0
3989,AL,M,46.0,Retail,1,47946,BOGO - Baja Blast,Static Facebook ad,1,"['spicy potato soft taco', 'beefy 5 layer burrito']","['baja blast', 'baja blast']",0.0,5.0,3.0
8007,UT,M,21.0,Government,0,57926,DISCOUNT-50%,15 sec YouTube ad,1,['mexican pizza'],['mug root beer'],0.0,6.0,1.0
4610,NJ,M,25.0,Government,0,55555,DISCOUNT-5%,15 sec YouTube ad,0,['cheesy bean and rice burrito'],['baja blast'],0.0,3.0,1.0
1838,AL,M,33.0,Retail,4,36491,BOGO - Garlic Steak Nacho Fries,Instagram photo ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries', 'beefy 5 layer burrito', 'nachos bellgrande', 'cheesy gordita crunch']","['iced tea', 'mountain dew', 'baja blast', 'gatorade', 'baja blast']",2.0,2.0,0.0
6829,IL,F,27.0,IT,1,97130,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec TikTok ad,0,"['soft taco', 'soft taco']","['iced tea', 'baja blast']",0.0,7.0,5.0
