Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff,ElimFac
"Amanda Marsh
","Chanute, Kansas
","Event planner
",1,7,23.0,9.0,1.0
"Trista Rehn
","Miami, Florida
","Miami heat dancer
",1,6,30.0,2.0,0.8571428571428571
"Shannon Oliver
","Dallas, Texas
","Financial management consultant
",1,5,24.0,8.0,0.7142857142857143
"Kim
","Tempe, Arizona
","Nanny
",1,4,24.0,8.0,0.5714285714285714
"Cathy Grimes
","Terra Haute, Indiana
","Graduate student
",1,3,23.0,9.0,0.42857142857142855
"Christina Stencil
","Bonita, California
","Attorney
",1,3,28.0,4.0,0.42857142857142855
"LaNease Adams
","Los Angeles, California
","Actress
",1,3,24.0,8.0,0.42857142857142855
"Rhonda Rittenhouse
","Woodward, Oklahoma
","Commercial real estate agent
",1,3,28.0,4.0,0.42857142857142855
"Alexa
","Beverly Hills, California
","Special educations teacher
",1,2,27.0,5.0,0.2857142857142857
"Amy Anzel
","New York, New York
","Production coordinator
",1,2,28.0,4.0,0.2857142857142857
"Angela
","Avondale, Arizona
","Hooters waitress
",1,2,25.0,7.0,0.2857142857142857
"Angelique Madrid
","Burbank, California
","Actress
",1,2,27.0,5.0,0.2857142857142857
"Katie
","Malden, Massachusetts
","Power tool sales representative
",1,2,23.0,9.0,0.2857142857142857
"Melissa
","Tempe, Arizona
","Photographer
",1,2,25.0,7.0,0.2857142857142857
"Tina Chen
","Plano, Texas
","Graduate student
",1,2,27.0,5.0,0.2857142857142857
"Amber
","Los Angeles, California
","Business development director
",1,1,29.0,3.0,0.14285714285714285
"Daniela
","Seattle, Washington
","Neuropsychologist
",1,1,30.0,2.0,0.14285714285714285
"Denise
","Honolulu, Hawaii
","Doctor
",1,1,30.0,2.0,0.14285714285714285
"Jackie
","Pittsburgh, Pennsylvania
","Bar manager
",1,1,22.0,10.0,0.14285714285714285
"Jill
","Chicago, Illinois
","Retail manager
",1,1,31.0,1.0,0.14285714285714285
"Kristina Jenkins
","Los Angeles, California
","Advertising executive
",1,1,27.0,5.0,0.14285714285714285
"Lisa Gold
","Dallas, Texas
","Attorney
",1,1,29.0,3.0,0.14285714285714285
"Paula
","Swansea, Massachusetts
","Insurance representative
",1,1,24.0,8.0,0.14285714285714285
"Rachel
","Eastchester, New York
","6th grade teacher
",1,1,29.0,3.0,0.14285714285714285
"Wendi Plotnik
","Dallas, Texas
","Technology specialist
",1,1,26.0,6.0,0.14285714285714285
Tessa Horst,"San Francisco, California",Social worker,10,9,26.0,1.0,1.0
