Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff,ElimFac
Alexe Godin,"Néguac, New Brunswick",Pediatric Speech Therapist,29,0,28.0,3.0,NONE
Alli Jo Hinkes,"Freehold, New Jersey",Boxing Trainer,29,0,32.0,7.0,NONE
Allyshia Gupta,"Wesley Chapel, Florida",Interior Designer,29,0,31.0,6.0,NONE
Beverly Ortega,"Howard Beach, New York",Insurance Salesperson,29,0,31.0,6.0,NONE
Carolina Quixano,"Guaynabo, Puerto Rico",Public Relations Producer,29,0,30.0,5.0,NONE
Chloie Costello,"Mission Hills, Kansas",Model,29,0,29.0,4.0,NONE
Christina Smith,"Kindred, North Dakota",Marketing Director,29,0,28.0,3.0,NONE
Dina Lupancu,"Willowbrook, Illinois",Attorney,29,0,33.0,8.0,NONE
Ella Del Rosario,"Los Angeles, California",Luxury Travel Host,29,0,26.0,1.0,NONE
J’Nae Squires-Horton,"Colorado Springs, Colorado",Account Coordinator,29,0,29.0,4.0,NONE
Juliana Pasquarosa,"Newton, Massachusetts",Client Service Associate,29,0,29.0,4.0,NONE
Kelsey Curtis,"Clarksville, Maryland",Interior Designer,29,0,27.0,2.0,NONE
Kyleigh Henrich,"Glen Rose, Texas",Retail Manager,29,0,27.0,2.0,NONE
Litia Garr,"Soda Springs, Idaho",Venture Capitalist,29,0,32.0,7.0,NONE
Natalie Phillips,"Seattle, Washington",Ph.D. Student,29,0,26.0,1.0,NONE
Neicey Baxter,"Blythewood, South Carolina",Pediatrician,29,0,33.0,8.0,NONE
Parisa Shifteh,"Birmingham, Michigan",Pediatric Behavior Analyst,29,0,30.0,5.0,NONE
Radhika Gupta,"Floral Park, New York",Attorney,29,0,29.0,4.0,NONE
Rebekah Garrett,"Dallas, Texas",ICU Nurse,29,0,32.0,7.0,NONE
Rose Sombke,"Rockford, Illinois",Registered Nurse,29,0,28.0,3.0,NONE
Sarafiena Watkins,"Cos Cob, Connecticut",Associate Media Director,29,0,30.0,5.0,NONE
Savannah Quinn,"Charlottesville, Virginia",Wedding Planner,29,0,27.0,2.0,NONE
Vicky Nyamuswa,"Henderson, Nevada",Nightclub Server,29,0,29.0,4.0,NONE
Zoe McGrady,"Chester, Virginia",Tech Engineer/Model,29,0,28.0,3.0,NONE
