Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff
Alexe Godin,"Néguac, New Brunswick",Pediatric Speech Therapist,29,NONE,28.0,3.0
Alli Jo Hinkes,"Freehold, New Jersey",Boxing Trainer,29,NONE,32.0,7.0
Allyshia Gupta,"Wesley Chapel, Florida",Interior Designer,29,NONE,31.0,6.0
Beverly Ortega,"Howard Beach, New York",Insurance Salesperson,29,NONE,31.0,6.0
Carolina Quixano,"Guaynabo, Puerto Rico",Public Relations Producer,29,NONE,30.0,5.0
Chloie Costello,"Mission Hills, Kansas",Model,29,NONE,29.0,4.0
Christina Smith,"Kindred, North Dakota",Marketing Director,29,NONE,28.0,3.0
Dina Lupancu,"Willowbrook, Illinois",Attorney,29,NONE,33.0,8.0
Ella Del Rosario,"Los Angeles, California",Luxury Travel Host,29,NONE,26.0,1.0
J’Nae Squires-Horton,"Colorado Springs, Colorado",Account Coordinator,29,NONE,29.0,4.0
Juliana Pasquarosa,"Newton, Massachusetts",Client Service Associate,29,NONE,29.0,4.0
Kelsey Curtis,"Clarksville, Maryland",Interior Designer,29,NONE,27.0,2.0
Kyleigh Henrich,"Glen Rose, Texas",Retail Manager,29,NONE,27.0,2.0
Litia Garr,"Soda Springs, Idaho",Venture Capitalist,29,NONE,32.0,7.0
Natalie Phillips,"Seattle, Washington",Ph.D. Student,29,NONE,26.0,1.0
Neicey Baxter,"Blythewood, South Carolina",Pediatrician,29,NONE,33.0,8.0
Parisa Shifteh,"Birmingham, Michigan",Pediatric Behavior Analyst,29,NONE,30.0,5.0
Radhika Gupta,"Floral Park, New York",Attorney,29,NONE,29.0,4.0
Rebekah Garrett,"Dallas, Texas",ICU Nurse,29,NONE,32.0,7.0
Rose Sombke,"Rockford, Illinois",Registered Nurse,29,NONE,28.0,3.0
Sarafiena Watkins,"Cos Cob, Connecticut",Associate Media Director,29,NONE,30.0,5.0
Savannah Quinn,"Charlottesville, Virginia",Wedding Planner,29,NONE,27.0,2.0
Vicky Nyamuswa,"Henderson, Nevada",Nightclub Server,29,NONE,29.0,4.0
Zoe McGrady,"Chester, Virginia",Tech Engineer/Model,29,NONE,28.0,3.0
